天,day,day,X
天数,Day Number,nbr,X
央行,Central Bank,cnrlbnk,X
失效,Overtime,ovtm,X
失败,Fail,fail,X
头尾,Bottom To End,bte,X
头衔,Title,title,X
奖罚,Rewarding Punishment,reward_punish,X
套,Set,set,X
套取,Illegal Exchange,illegal_exg,X
姓名,Name,nm,X
委托,Entrust,entrst,X
委托书,Trust Instrument,trism,X
婚姻,Marital,mrt,X
媒体,Media,media,X
子,Child,chd,X
子目,Sub Code,subcode,X
子类,Sub Type,subty,X
字符串,String,str,X
字符型,Char,char,X
存入,Deposit Into,dpsint,X
存单,Deposit Receipt,deprcpt,X
存在,Exist,exist,X
存折,Deposit Book,dpstbk,X
存放处,Depositary,dpt,X
存期,Deposit Time,dpstm,X
存款,Deposit,dep,X
存款比,DepositDiv,depDiv,X
存货,Merchandise,mrchd,X
存贷比,DepositLoanDiv,depLoanDiv,X
季,Season,ssn,X
季度,Quarter,qtr,X
学历,Educational Level,edulvl,X
学校,School,school,X
安全,Safe,safe,X
安装,Setting,set,X
完成,Finish,finish,X
完整,inte,inte,X
宏观,Macro,macro,X
定义,Definition,defn,X
定价,Make Price,make_prc,X
定性,Qualitative,qual,X
定期,Fixed,fix,X
定期储蓄,Fix Deposit,fd,X
定额,Rating,rating,X
实付利息,Paid Out Interest,pdoutint,X
实体,Entity,enty,X
实例,Instance,inst,X
实力,Strength,strength,X
实收,Paid Up,pdp,X
实收利息,Paid Up Interest,pdpint,X
实收资本,Paid In Capital,pdncptl,X
实物,Entity,entity,X
实现,Realize,real,X
实缴,Actual Pay,act_pay,X
实际,Real,real,X
审批,Approve,aprv,X
审查,Check,chk,X
审核,Audit,audit,X
审表,Check,chk,X
审表员,Auditor,auditor,X
审计,Audit,audit,X
审议,Consideration,consd,X
客户,Customer,cst,X
客户经理绩效考核系统,Cmpe,CMPE,X
家庭,Family,fml,X
容积,Cubage,cubg,X
宽限,Grace,grace,X
密码,Password,psw,X
对,According To,ato,X
对公,Crop,crop,X
对公授信,Loan,loan,X
对应,Corresponding,cpd,X
对手,Adversary,adver,X
对方,Other Side,othr,X
对照,Contrast,cont,X
对私,idv,idv,X
对象,Object,obj,X
对账单,Check Sheet,chksht,X
导入,Import,imp,X
封闭,Close,close,X
封面,cover,cvr,X
封顶,Upper Limit,uprlmt,X
小,Small,small,X
少数,Few,few,X
尚,Still,s,X
尽责,Pious,pious,X
层,Floor,fl,X
层次,Level,levl,X
居住,Residence,rsdnc,X
居民,Resident,rsdnt,X
屏蔽,ignore,ignr,X
展期,Rollover,rlvr,X
属性,Attribute,attr,X
工作,Work,wrk,X
工作日,Work Day,wkd,X
工作流,Workflow,wkfl,X
工信部,wcd,wcd,X
工具,tool,tl,X
工程,Project,prj,X
差,Margin,marg,X
差幅,Difference,dif,X
差异,Difference,diff,X
差额,Margin,marg,X
已,Already,alrd,X
已上,Already Used,alus,X
已付,Payed,pyd,X
已填写,Wrote,wrote,X
已批准,Approved,apred,X
已收,Received,rcvd,X
已用,Used,usd,X
已经,Already,ard,X
已调整,Adjusted,adj,X
已转期,Transferred,trans,X
已还,Payed,pyd,X
币别,Currency,ccy,X
市,City,city,X
市价,Market Price,mktprc,X
市场,Market,mkt,X
市盈率,Profit/Earning,pftern,X
常用,In Common Use,com_use,X
平仓,clo_pos,clo_pos,X
平台,Platform,plaf,X
平均,Average,avg,X
平移,move,move,X
年,Annual,anul,X
年份,Year,yr,X
年内,This Year,thy,X
年审,YA,ya,X
年度,Annual,anul,X
年检,Annual Audit,anul_audit,X
年限,Years,yrs,X
年龄,Age,age,X
并入,Merge,merg,X
广东,GuangDong,GuangDong,X
广州,Guang Zhou,gz,X
序号,Sequence Number,seqno,X
应,Should,shd,X
应付,Payable,pybl,X
应收,Receivable,rcvb,X
应用,Application,app,X
应计,Accrued,acr,X
应还,Payable,payable,X
底盘,Underpan,upan,X
底限,Bottom Line,bot_ln,X
度,Level,lvl,X
延迟,Defer,defer,X
建档,File,file,X
建立,Set Up,setup,X
建筑,Construction,cnstr,X
建议,Suggestion,sugst,X
开业,Business Open,bsnopn,X
开关,Switch,sw,X
开出,Issue,iss,X
开列,Open,opn,X
开卡,Open,open,X
开发,Develop,dvp,X
开发商,Developer,dvpr,X
开始,Begin,beg,X
开户,Open Account,opnac,X
开票,Postal Order,PO,X
开立,Issue,iss,X
开证,Issue,iss,X
异常,Abnormity,abnrm,X
引用,Quote,qt,X
强度,Intensity,intsy,X
归属,Subjection,sbjctn,X
归档,Archive,archv,X
归还,Return,ret,X
当前,Current,crn,X
当地,Local,lcl,X
当天,Current Day,curday,X
当年,Year,yr,X
当日,Today,today,X
当期,Current Period,crnpd,X
录入,Input,input,X
录入员,Inputor,ipr,X
形式,Form,form,X
形象,Image,image,X
影响,Affect,affect,X
往来,Contact,contact,X
往来账户,Account Current,accrn,X
待处理,to deal,to_deal,X
待摊,To be apportioned,to_be_appor,X
律师行,Law Office,lofc,X
循环,Cycle,cycle,X
微信,wx,wx,X
微型,tiny,tn,X
必填项,Required,requried,X
必要,Necessary,necsry,X
性别,Gender,gnd,X
性质,Attribute,attr,X
总,Overall,ovrl,X
总分,Score,scr,X
总户,Overall Account,ovrac,X
总行,Bank Of China,boc,X
总计,Sumtotal,smtl,X
总账码,General Ledger Code,glcode,X
总部,Hq,HQ,X
总量,Gross,gros,X
总额,Amount,amt,X
恢复,reset,rst,X
息,Interest,int,X
情况,Circs,crcs,X
意愿,Will,will,X
意见,Opinion,opn,X
成为,Be,be,X
成交,Bargain,bargn,X
成分,Type,tp,X
成功,Success,suc,X
成员,Member,mbr,X
成因,Reason,rsn,X
成数,Percentage,pct,X
成新率,Old Degree,olddgr,X
成本,Cost,cost,X
我行,Boc,boc,X
或,Or,or,X
或有,Contingent,ctgt,X
截止,End,end,X
户,Door,door,X
户名,Account Holder,achdr,X
户型,Type Of Flat,typft,X
户籍,Household Register,hhrgst,X
房,House,hs,X
房产,House Property,hspty,X
房地产,Real Estate,rlest,X
房屋,House,hs,X
所在,Local,lcl,X
所在地,Local Place,lplc,X
所属,Subjection,sbjctn,X
所得税,Income Tax,ictax,X
所有,All,all,X
所有权,Ownership,owshp,X
所有者,owner,onr,X
所有者权益,Owners Equity,oeqty,X
手工,Handcraft,hdcft,X
手机,Mobile Phone,mobphn,X
手续,Procedure,prcdr,X
手续费,Commission,cmsn,X
打包,Packaging,pack,X
打卡,Print Card,print_crd,X
打印,Print,prt,X
托管,Escrow,escrow,X
扣划,Deduct,dct,X
扣款,Payment,pmt,X
扣账,Deduct Account,ddcac,X
扣除,Deduct,deduct,X
执笔,Write,wrt,X
执行,Execution,exec,X
批准,Approve,apre,X
批准人,Approver,aper,X
批出,Confirm,cfrm,X
批发,Wholesale,whsal,X
批处理,Batch,bat,X
批复,Approval,approval,X
批文,Remarks,rmk,X
批示,Postil,pstl,X
批量,Batch,batch,X
承,Link,lnk,X
承兑,Accept,accept,X
承诺,Promise,prm,X
承诺函,Promise Letter,prltr,X
承销,Undertake Sell,undtk_sell,X
技术,Technology,tech,X
投保人,Policy Holder,plchdr,X
投向,Direction,drc,X
投放,Invest,invest,X
投资,Investment,ivsm,X
投资商,Investor,ivstr,X
折,Converted,cnvr,X
折扣,Discount,dscnt,X
折算,Converted,cnvr,X
折让,Allowances,allow,X
抚养人口,Fend Number,fdnbr,X
报价,Quote,quote,X
报告,Report,rprt,X
报告书,Proces Verbal,provb,X
报废,Useless,usls,X
报表,Report,rep,X
报送,Report,rep,X
抵押,Mortgage,mtg,X
抵押权,Mortgage Rights,mtgrt,X
抵押物,Mortgage,mtg,X
抵用,instead,instd,X
抵质押,Mortgage Pledge,mtg_plg,X
抵质押品,Mortgage Pledge,mtg_plg,X
抵质押物,Mortgage Pledge,mtg_plg,X
押品,Pawn,pwn,X
押汇,Negotiating,negtt,X
担保,Guarantee,grnt,X
担保品,Collateral,col,X
拆借,Loan at call,lac,X
拍卖,Auction,auct,X
拒付,Repudiation,repdt,X
拒绝,Refuse,rfs,X
拖欠,Arrears,ars,X
拟,Planned,plnd,X
拥有者,Ownner,Ownner,X
拨备,fncpre,fncpre,X
拼音,Spell,spell,X
持卡,,,X
持卡人,cardholder,cdr,X
持有,Have,h,X
持股,Shares,shares,X
挂失,Report Loss,rploss,X
指引,Guidelines,gudln,X
指数,Index,indx,X
指标,Indicator,ind,X
按揭,Mortgage,mtg,X
按日,By Day,byday,X
按时,on schedule,onsdl,X
挪用,Appropriation,approp,X
损失,Loss,los,X
损益,Profit And Loss,pftls,X
换卡,Change Card,chgcrd,X
授信,Loan,loan,X
授信评审,Loan Accreditation,lnad,X
授后,Loaned,loaned,X
授权,Authorization,aut,X
排列,Range,rge,X
排名,Rank,rnk,X
排查,pc,pc,X
接受,Receive,rcv,X
接收,Receive,rcv,X
控制,Control,cntl,X
控制方,Control,ctrlr,X
控股,Share Hold,shahld,X
推荐,Recommendation,,
措施,Measure,msr,X
描述,Description,desc,X
提交,Submit,submit,X
提供,Afford,affd,X
提前,In Advance,adv,X
提单,Bill Of Lading,ladbl,X
提款,Drawing,drw,X
提现,Draw Money,draw,X
提示,Prompt,prpt,X
提货,Pick Up The Goods,pugds,X
提醒,remind,rmnd,X
搜索,Search,sch,X
摊分,Repartition,reptt,X
摊销,Amortizement,amtz,X
摘要,Brief,brf,X
撤消,Cancel,cancel,X
撤销,Cancellation,cncl,X
操作,Operation,oprn,X
操作符,OperationSymbol,oprnsmbl,X
支付,Pay,pay,X
支出,Outlay,otl,X
支取,Draw,drw,X
支持,Support,suport,X
支票,Check,check,X
支行,Subbranch Bank,sbnk,X
